# 静态行业回退：当东方财富/JQData 不可达时，用本文件写入 L2 industry_revenue_summary，使 Module A 能输出 AGRI/TECH/GEO
# 格式：symbol,industry_name（与 classifier_rules 关键词一致：农林牧渔/电子/计算机/通信/有色金属/石油石化）
symbol,industry_name
002371.SZ,电子
600879.SH,国防军工
600031.SH,机械设备
000737.SZ,有色金属
688012.SH,电子
000063.SZ,通信
601138.SH,电子
601899.SH,有色金属
000831.SZ,有色金属
300676.SZ,医药生物
601012.SH,电力设备
300750.SZ,电力设备
002415.SZ,计算机
601318.SH,银行
603259.SH,医药生物
605168.SH,传媒
002230.SZ,计算机
688331.SH,医药生物
002261.SZ,计算机
300189.SZ,农林牧渔
300760.SZ,医药生物
300699.SZ,国防军工
688066.SH,计算机
600862.SH,国防军工
300866.SZ,环保
301371.SZ,电子
688568.SH,计算机
600432.SH,小金属
002665.SZ,电力设备
