# 标的中文名：与 diting_symbols.txt 顺序一致，供 B 模块与 L2 展示；采集/akshare 失败时兜底
# name_cn 为交易所常用股票简称；六板块成分股由 make fetch-sector-symbols 从东方财富同步，公司更名请核对后更新
symbol,name_cn
002371.SZ,北方华创
600879.SH,航天电子
600031.SH,三一重工
000737.SZ,北方铜业
688012.SH,中微公司
000063.SZ,中兴通讯
601138.SH,工业富联
601899.SH,紫金矿业
000831.SZ,中国稀土
300676.SZ,华大基因
601012.SH,隆基绿能
300750.SZ,宁德时代
002415.SZ,海康威视
601318.SH,中国平安
603259.SH,药明康德
605168.SH,三美股份
002230.SZ,科大讯飞
688331.SH,荣昌生物
002261.SZ,拓维信息
300189.SZ,神农科技
300760.SZ,迈瑞医疗
300699.SZ,光威复材
688066.SH,航天宏图
600862.SH,中航高科
300866.SZ,安克创新
301371.SZ,敷尔佳
688568.SH,中科星图
600163.SH,中闽能源
000601.SZ,韶能股份
600982.SH,宁波能源
002479.SZ,富春环保
001376.SZ,百通能源
000539.SZ,粤电力Ａ
600780.SH,通宝能源
600396.SH,华电辽能
000993.SZ,闽东电力
600726.SH,华电能源
000690.SZ,宝新能源
000722.SZ,湖南发展
000791.SZ,甘肃能源
601016.SH,节能风电
600032.SH,浙江新能
000767.SZ,晋控电力
600578.SH,京能电力
002039.SZ,黔源电力
600509.SH,天富能源
601778.SH,晶科科技
002893.SZ,京能热力
002053.SZ,云南能投
000966.SZ,长源电力
000600.SZ,建投能源
002616.SZ,长青集团
000543.SZ,皖能电力
600995.SH,南网储能
600310.SH,广西能源
601991.SH,大唐发电
600979.SH,广安爱众
000595.SZ,*ST宝实
600483.SH,福能股份
600157.SH,永泰能源
000692.SZ,惠天热电
300125.SZ,*ST聆达
000027.SZ,深圳能源
600969.SH,郴电国际
001258.SZ,立新能源
603105.SH,芯能科技
900937.SZ,华电B股
605580.SH,恒盛能源
000037.SZ,深南电A
600098.SH,广州发展
002608.SZ,江苏国信
000591.SZ,太阳能
000507.SZ,珠海港
600021.SH,上海电力
300335.SZ,迪森股份
600868.SH,梅雁吉祥
000537.SZ,绿发电力
002060.SZ,广东建工
003816.SZ,中国广核
600930.SH,华电新能
600226.SH,亨通股份
600116.SH,三峡水利
000883.SZ,湖北能源
600027.SH,华电国际
600052.SH,东望时代
600167.SH,联美控股
600236.SH,桂冠电力
600452.SH,涪陵电力
601619.SH,嘉泽新能
002480.SZ,新筑股份
600719.SH,大连热电
600905.SH,三峡能源
600023.SH,浙能电力
000875.SZ,电投绿能
600642.SH,申能股份
600101.SH,明星电力
000155.SZ,川能动力
600744.SH,华银电力
